SPID,SID,PID,Quantity,Price,ShipDate
1.0,714,603,35,259.824016013485,2014-04-23
2.0,812,648,23,420.85,2013-08-29
3.0,1,265,22,313.93,2015-01-21
4.0,1036,114,250,256.28,2013-03-07
5.0,226,1005,37,441.47,2013-03-17
6.0,58,862,8,28.65,2013-10-09
7.0,779,748,33,416.86,2014-09-29
8.0,1087,509,45,383.36,2013-01-07
9.0,730,999,31,245.89,2012-06-14
10.0,418,644,45,98.65,2013-03-29
11.0,899,654,36,190.85,2014-05-20
12.0,875,827,41,422.88,2012-02-04
13.0,615,431,64,316.16,2013-11-07
14.0,961,108,156,323.4,2012-11-22
16.0,968,220,424,235.36,2012-02-14
17.0,1129,566,1,454.51,2012-12-04
18.0,923,229,507,265.8,2014-11-19
19.0,547,670,17,477.94,2012-01-13
20.0,502,24,54,420.13,2012-07-24
21.0,705,10,33,492.04,2012-01-19
22.0,1166,527,47,377.58,2012-04-01
24.0,773,877,8,121.53,2012-05-01
25.0,1083,1076,328,24.33,2012-10-21
26.0,336,109,34,488.41,2012-01-10
27.0,871,228,414,448.25,2013-06-13
28.0,770,451,297,400.53,2015-01-20
29.0,780,914,345,446.58,2012-10-15
30.0,32,1111,4,244.3,2013-04-06
31.0,79,1155,508,218.19,2013-06-12
32.0,787,313,445,381.51,2014-06-13
33.0,1041,597,51,107.84,2013-02-19
34.0,965,952,13,416.86,2014-04-02
35.0,426,1093,328,126.85,2012-08-15
36.0,799,542,3,217.31,2012-01-25
37.0,1196,355,430,409.7,2013-04-26
38.0,999,365,14,356.93,2013-01-18
39.0,1134,36,233,157.0,2012-02-03
40.0,30,126,69,204.02,2012-06-04
41.0,397,999,52,434.45,2014-07-11
42.0,1198,600,60,32.66,2013-06-14
43.0,711,279,45,236.91,2012-09-18
44.0,958,935,52,401.53,2012-11-23
45.0,594,287,62,314.59,2012-02-17
46.0,914,435,30,171.86,2012-04-12
47.0,1111,959,9,113.17,2012-03-01
48.0,643,606,56,161.35,2013-10-05
49.0,160,184,9,296.11,2014-06-12
50.0,324,662,52,49.91,2012-12-24
51.0,1036,315,53,207.02,2013-10-11
52.0,166,728,58,54.56,2012-05-27
53.0,614,442,339,63.88,2012-06-17
54.0,390,292,667,355.93,2013-11-01
55.0,217,545,536,115.48,2013-08-05
56.0,155,801,348,42.04,2013-06-20
57.0,770,32,271,316.7,2014-01-22
58.0,892,60,39,160.5,2014-10-16
59.0,92,279,56,495.33,2013-08-21
60.0,1098,591,27,150.08,2013-03-31
61.0,684,676,541,447.34,2013-09-15
62.0,147,111,68,74.71,2014-03-07
63.0,110,156,203,124.33,2012-05-15
64.0,394,250,547,388.43,2013-04-20
65.0,128,663,46,452.17,2014-11-18
66.0,1029,402,315,365.68,2013-02-08
67.0,682,601,250,101.39,2014-07-18
68.0,1195,846,52,170.49,2012-09-21
69.0,1025,955,15,46.05,2012-02-10
70.0,587,877,32,466.12,2014-06-17
71.0,355,81,272,269.75,2013-11-15
72.0,811,167,66,206.08,2013-03-16
73.0,1175,716,634,253.24,2013-01-16
74.0,382,98,612,413.35,2012-09-24
75.0,164,1157,369,495.81,2014-11-08
76.0,1051,580,161,366.73,2012-08-10
77.0,125,142,54,37.26,2014-08-18
78.0,136,318,45,359.18,2012-08-20
79.0,297,537,576,99.28,2013-02-19
80.0,1008,624,344,99.85,2012-07-04
81.0,587,174,64,279.06,2012-06-20
82.0,998,118,6,429.1,2015-01-05
83.0,877,847,23,109.95,2012-07-19
84.0,1134,1134,28,110.14,2012-11-13
85.0,188,87,20,406.51,2013-09-30
86.0,701,221,54,165.05,2014-01-28
87.0,615,759,41,461.46,2013-01-30
88.0,645,527,1,34.92,2014-04-26
89.0,203,802,50,188.51,2014-04-07
90.0,605,189,58,180.3,2014-09-06
91.0,477,197,395,85.19,2014-01-04
92.0,159,399,44,201.82,2013-03-12
93.0,539,654,52,116.01,2012-11-01
94.0,780,678,36,195.49,2013-12-01
95.0,382,407,34,423.89,2014-12-31
96.0,444,335,67,459.8,2012-11-03
97.0,68,1194,669,296.48,2013-12-05
98.0,513,699,47,250.43,2013-08-26
99.0,168,108,357,327.41,2013-11-25
100.0,139,647,41,190.74,2012-04-02
101.0,988,444,47,408.69,2012-03-13
102.0,602,95,45,156.77,2014-09-24
103.0,543,1010,25,397.06,2012-04-05
105.0,19,144,519,108.08,2014-06-30
106.0,845,399,28,390.85,2014-02-03
107.0,440,490,566,387.63,2012-07-25
108.0,1071,782,60,92.23,2013-05-13
109.0,120,963,286,165.68,2013-12-24
110.0,702,1030,52,140.74,2014-02-11
111.0,795,993,319,367.49,2014-07-28
112.0,1083,1174,63,487.22,2014-12-01
113.0,207,1161,468,203.46,2014-09-02
114.0,339,782,67,108.09,2014-06-06
115.0,821,495,63,223.87,2013-05-01
116.0,724,198,3,289.99,2014-03-07
117.0,514,754,522,213.32,2013-08-21
118.0,358,276,329,396.93,2013-07-06
119.0,610,795,43,258.95,2013-01-29
120.0,1070,1131,5,295.54,2012-08-20
121.0,1148,444,698,246.99,2012-08-07
122.0,285,654,27,95.39,2013-05-24
123.0,934,503,22,328.15,2013-12-23
124.0,351,276,404,84.29,2012-03-01
125.0,538,1180,436,282.13,2015-02-02
126.0,905,861,63,349.72,2012-07-18
127.0,247,993,17,441.22,2014-09-03
128.0,363,218,231,290.8,2013-05-27
129.0,210,375,49,461.3,2012-05-25
130.0,527,1096,67,232.75,2013-06-03
131.0,230,852,437,284.65,2013-08-04
132.0,899,800,643,188.19,2012-05-24
133.0,351,273,212,176.04,2012-07-29
134.0,327,502,10,204.91,2013-05-24
135.0,157,653,38,239.5,2013-01-11
136.0,816,424,13,443.69,2012-08-02
137.0,361,513,335,180.08,2014-09-19
138.0,1102,212,567,178.56,2014-03-19
139.0,1135,402,152,132.53,2015-01-19
140.0,159,663,30,429.23,2014-11-18
141.0,995,787,662,126.73,2012-03-30
142.0,607,60,505,382.28,2014-06-10
143.0,484,939,44,236.47,2014-01-18
144.0,699,494,43,320.73,2014-12-28
145.0,862,774,31,402.83,2013-07-15
146.0,724,493,13,46.04,2014-11-18
147.0,1029,3,613,318.96,2013-10-31
148.0,887,1161,391,144.14,2013-06-17
149.0,5,666,60,42.65,2014-05-12
150.0,828,330,311,99.61,2014-05-18
151.0,865,260,360,214.83,2013-03-24
152.0,480,644,256,441.12,2013-10-10
153.0,340,913,575,32.26,2013-06-21
154.0,608,745,43,331.08,2014-01-07
155.0,429,589,37,46.12,2014-04-24
156.0,582,609,196,495.25,2014-12-10
157.0,442,467,436,21.61,2015-01-17
158.0,543,1102,10,203.08,2014-11-15
159.0,395,442,471,222.88,2013-11-24
160.0,279,891,41,123.83,2014-02-16
161.0,786,814,64,405.33,2013-09-10
162.0,53,602,671,284.73,2012-07-05
163.0,858,1156,481,232.95,2013-06-14
164.0,204,632,31,67.67,2014-05-29
165.0,818,410,674,203.51,2014-10-29
166.0,193,1107,2,150.19,2014-01-19
167.0,1049,125,28,140.48,2014-10-03
168.0,266,911,23,428.61,2012-04-30
169.0,724,1077,489,212.32,2014-06-23
170.0,1009,1181,22,190.39,2015-01-24
171.0,73,407,57,354.42,2014-03-28
172.0,1060,670,11,463.03,2014-08-01
